ID,Quote Name,Coy Name,Bid Price
41,Supply of Instructors for Secondary 1 Guitar Music Programme in Chung Cheng High School (Main),AVANT GARDE PROMOTIONS,"9,990.00 (SGD)"
42,Supply of Instructor for Tea Art Appreciation Programme for Secondary 1 to Secondary 4 students in Chung Cheng High School (Main),C & M DREAM TRAINING CENTRE PTE. LTD.,"29,587.50 (SGD)"
43,"Rulang Primary School is looking for a vendor to conduct Pottery Programmes for P1, P2, P3 & P6 - 2022. Please refer to attachment.",THOW KWANG INDUSTRY PTE. LTD.,"32,514.00 (SGD)"
44,,,
45,Supply of AMIS Art Instructors for P5 Photojournalism Module and P6 Graduation Exhibition Module in St. Margaret’s Primary School,CREATIVEHALO PTE. LTD.,"14,000.00 (SGD)"
46,English Bridging Support for Students in Commonwealth Secondary School,REACHING BEYOND,"12,000.00 (SGD)"
47,Provision of an Artificial Intelligence enabled (AI-enabled) Text Analysis and Writing Improvement Platform for English Language in Punggol Pri Sch,GSA PRIVATE LIMITED,"13,750.00 (SGD)"
48,Shadow Teacher Support Programme 2022,NURTURE PODS EARLY INTERVENTION TRAINING AND CONSULTANCY PTE. LTD.,"9,853.45 (SGD)"
49,Supply of Instructors for Conversational Chinese & Malay (CCM) Programme in Canberra Primary School - 2022,RAFFLES TRAINING PTE. LTD.,"7,771.40 (SGD)"
50,Supply of Instructor for P4 to P6 Digital Music Programme,TOWN4KIDS PTE LTD,"10,400.00 (SGD)"
51,Supply of Instructors for After-school Gear Up Enrichment Programme at Chua Chu Kang Secondary School,MASTEREIGN ACHIEVERS PTE. LTD.,"14,985.00 (SGD)"
52,SECONDARY 4 ECG AND MOTIVATIONAL WORKSHOP 2022,ADAM KHOO LIFE SKILLS COMPANY PTE. LTD.,"36,226.00 (SGD)"
