ID,Quote Id,Type,Quote Title,Awarded Coy,Bid Price
26,MOESCHETQ22001216,Quotation,Supply of Instructors for Dance Programme in Zhangde Primary School,Multiple Suppliers,"13,700.00 (SGD)"
27,HDB000ETQ22000047 / CCG-QN220002,Quotation,"Built In (Class 1) Laser Support System with cooling, smoke/fumes extraction and air assist",LIONSFORGE PTE. LTD.,"11,628.00 (SGD)"
28,MOESCHETQ22001167,Quotation,Rulang Primary School is looking for a vendor to conduct P4 & P5 Music Programmes - 2022. Please refer to attachment.,MUSIC DELIGHT ENTERPRISE,"7,469.00 (SGD)"
29,MOESCHETQ22001181,Quotation,ITQ FOR ONE-DAY LEADERSHIP RETREAT,SEQUOIA GROUP PTE. LTD.,"12,600.00 (SGD)"
30,SPO000ETQ22000084,Quotation,Supply of Instructors for P3 Broadbased Batik Art Programme in Zhenghua Primary School.,ARRT.INC PTE. LTD.,"10,080.00 (SGD)"
31,MOESCHETQ22001241 / 22424,Quotation,Supply of Instructors for Chinese Broadcasting Programme for Primary 5 pupils in Pei Chun Public School (2022),XUE NI LANGUAGE CENTRE,"7,500.00 (SGD)"
32,MOESCHETQ22001240,Quotation,"SPO-REQ-2022-000899-SD-Provision of Standard Adult First Aid Certification, Cardiopulmonary Resuscitation, and Automated External Defibrillator Course",AGAPE FIRST AID PTE. LTD.,"23,040.00 (SGD)"
33,CAA000ETQ22000009,Quotation,,,
34,MOESCHETQ22001217,Quotation,P5 & P6 LOL Programme 2022 (Glow Programme),CARE CORNER SINGAPORE LTD,"10,000.00 (SGD)"
35,MOESCHETQ22001219 / SPS/2022/007,Quotation,"Bukit Timah Primary School - 2-Day Non-Residential Primary 4 Cohort Camp (the ""Programme"")",TOUCH COMMUNITY SERVICES LIMITED,"12,168.00 (SGD)"
36,MOESCHETQ22001216,Quotation,Provision of Training Services on Foam Tender Operations & Defensive Driving,COMFORTDELGRO DRIVING CENTRE PTE. LTD.,"22,950.00 (SGD)"
37,HDB000ETQ22000047 / CCG-QN220002,Quotation,Supply of Instructors for Dance Programme in Zhangde Primary School,Multiple Suppliers,"13,700.00 (SGD)"
38,MOESCHETQ22001167,Quotation,"Built In (Class 1) Laser Support System with cooling, smoke/fumes extraction and air assist",LIONSFORGE PTE. LTD.,"11,628.00 (SGD)"
39,MOESCHETQ22001181,Quotation,Rulang Primary School is looking for a vendor to conduct P4 & P5 Music Programmes - 2022. Please refer to attachment.,MUSIC DELIGHT ENTERPRISE,"7,469.00 (SGD)"
40,SPO000ETQ22000084,Quotation,ITQ FOR ONE-DAY LEADERSHIP RETREAT,SEQUOIA GROUP PTE. LTD.,"12,600.00 (SGD)"
41,MOESCHETQ22001184,Quotation,Supply of Instructors for P3 Broadbased Batik Art Programme in Zhenghua Primary School.,ARRT.INC PTE. LTD.,"10,080.00 (SGD)"
42,MOESCHETQ22001162,Quotation,Supply of Instructors for Chinese Broadcasting Programme for Primary 5 pupils in Pei Chun Public School (2022),XUE NI LANGUAGE CENTRE,"7,500.00 (SGD)"
43,MOESCHETQ22001154,Quotation,"SPO-REQ-2022-000899-SD-Provision of Standard Adult First Aid Certification, Cardiopulmonary Resuscitation, and Automated External Defibrillator Course",AGAPE FIRST AID PTE. LTD.,"23,040.00 (SGD)"
44,MOESCHETQ22001169,Quotation,,,
45,MOESCHETQ22001164,Quotation,P6 Knowing My Strengths and Talents (Interview Skill) via zoom,TRAINING EDGE ACADEMY PTE. LTD.,"6,104.00 (SGD)"
46,MOESCHETQ22001061,Quotation,Motivation for Growth Mindset Workshop and Study Skills Workshop.,Multiple Suppliers,"11,260.00 (SGD)"
47,MOESCHETQ22001166,Quotation,A holistic support and learners' management programme to help Secondary 1 students in their transition from Primary to Secondary environment.,ACORN TRAINING PTE. LTD.,"12,200.00 (SGD)"
48,MOESCHETQ22001163 / SBPS22/0304/01,Quotation,Supply of Instructors for Computational Thinking Programme for P3 and P4 students in Canberra Primary School - 2022,ZENITANT PTE. LTD.,"8,890.50 (SGD)"
